Sex_Code_Text,Ethnic_Code_Text,LegalStatus,CustodyStatus,MaritalStatus,ScoreText,age,priors_count
Male,Caucasian,Pretrial,Jail Inmate,Married,Low,31.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,21.0,1.0
Female,African-American,Pretrial,Jail Inmate,Significant Other,Medium,21.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,30.0,0.0
Male,Hispanic,Pretrial,Jail Inmate,Single,High,32.0,20.0
Female,Caucasian,Pretrial,Jail Inmate,Single,Low,49.0,0.0
Female,Caucasian,Pretrial,Jail Inmate,Single,Low,49.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,22.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,22.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,22.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,22.0,0.0
Male,Other,Pretrial,Jail Inmate,Married,Low,43.0,2.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,29.0,1.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,29.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,22.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,22.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,22.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,22.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,22.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,22.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,20.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,36.0,0.0
Female,Caucasian,Pretrial,Jail Inmate,Married,Low,37.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,27.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Medium,36.0,5.0
Female,African-American,Pretrial,Jail Inmate,Single,Medium,36.0,5.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,45.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,24.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,26.0,0.0
Male,African-American,Pretrial,Jail Inmate,Married,Medium,42.0,0.0
Male,Other,Pretrial,Jail Inmate,Single,High,28.0,10.0
Female,Caucasian,Pretrial,Jail Inmate,Single,Low,35.0,1.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,26.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,36.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,High,40.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,High,40.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,High,27.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,High,27.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,High,27.0,2.0
Female,Caucasian,Pretrial,Jail Inmate,Single,High,56.0,1.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Low,48.0,5.0
Male,Caucasian,Pretrial,Residential Program,Married,Low,60.0,1.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Medium,31.0,5.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Medium,31.0,5.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Medium,31.0,5.0
Female,Caucasian,Pretrial,Jail Inmate,Single,Low,41.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,28.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,High,28.0,1.0
Female,African-American,Pretrial,Jail Inmate,Single,High,28.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,32.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,32.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,32.0,3.0
Male,African-American,Conditional Release,Probation,Single,High,36.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,48.0,0.0
Male,Other,Pretrial,Jail Inmate,Married,Low,33.0,0.0
Male,Other,Pretrial,Jail Inmate,Married,Low,33.0,0.0
Male,Other,Pretrial,Jail Inmate,Married,Low,33.0,0.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,38.0,0.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,38.0,0.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,38.0,0.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,38.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Medium,37.0,13.0
Female,African-American,Pretrial,Jail Inmate,Single,Medium,37.0,13.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,23.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,4.0
Male,African-American,Pretrial,Jail Inmate,Divorced,Medium,30.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,High,28.0,16.0
Male,African-American,Pretrial,Jail Inmate,Single,High,28.0,16.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,44.0,0.0
Female,Hispanic,Pretrial,Jail Inmate,Divorced,Low,38.0,0.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,49.0,0.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Medium,29.0,0.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,42.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Low,56.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Low,56.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,53.0,1.0
Female,Caucasian,Pretrial,Pretrial Defendant,Single,Low,24.0,1.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Low,46.0,13.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,25.0,2.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Low,50.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,24.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,24.0,2.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,34.0,3.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,34.0,3.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,34.0,3.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,34.0,3.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,Low,34.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,24.0,0.0
Male,Other,Pretrial,Jail Inmate,Single,Low,29.0,0.0
Female,Caucasian,Pretrial,Jail Inmate,Single,Low,60.0,9.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,High,29.0,8.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,High,29.0,8.0
Male,Caucasian,Pretrial,Pretrial Defendant,Single,High,29.0,8.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Low,25.0,1.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Low,25.0,1.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Low,25.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,33.0,7.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,31.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,31.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,31.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,31.0,3.0
Female,Caucasian,Post Sentence,Probation,Single,Medium,31.0,1.0
Female,Caucasian,Post Sentence,Probation,Single,Medium,31.0,1.0
