iter	RMSE
0	72.00795825
1	51.92860365
2	43.19060577
3	34.93667824
4	32.03433628
5	28.76688704
6	26.81698245
7	25.51250021
8	22.97664799
9	21.30947874
10	19.4296445
11	18.73384313
12	17.30111689
13	16.06649049
14	14.97609078
15	14.02966568
16	13.48991337
17	13.23614701
18	12.4149139
19	11.40754319
20	11.03218912
21	10.57873443
22	9.745965855
23	9.156019837
24	8.788601862
25	8.474277807
26	8.381160279
27	8.220950467
28	7.870986672
29	7.664046578
30	7.578747762
31	7.502365883
32	7.323630673
33	7.141082719
34	6.84415629
35	6.771783973
36	6.679441783
37	6.569854504
38	6.470485326
39	6.404966417
40	6.320160631
41	6.242542877
42	6.147494594
43	6.015949348
44	5.897885483
45	5.849009247
46	5.755994645
47	5.686430628
48	5.557472264
49	5.505369872
50	5.449212914
51	5.28548915
52	5.229662577
53	5.170052506
54	5.104189411
55	5.070185371
56	5.029970307
57	4.95816712
58	4.86619828
59	4.79116394
60	4.769951807
61	4.753580619
62	4.728051228
63	4.652237478
64	4.59799693
65	4.562079481
66	4.515608828
67	4.471387043
68	4.437212826
69	4.39652053
70	4.328680487
71	4.301754899
72	4.279067798
73	4.268739442
74	4.218895208
75	4.165364191
76	4.126537188
77	4.08232549
78	4.021490572
79	3.987966299
80	3.965610804
81	3.947190935
82	3.915794358
83	3.852956491
84	3.844837759
85	3.813673631
86	3.812898595
87	3.779034661
88	3.744607244
89	3.699296241
90	3.680116904
91	3.647999298
92	3.616828211
93	3.608329801
94	3.58116472
95	3.553657226
96	3.533170871
97	3.491301432
98	3.470297351
99	3.418634536
100	3.386895521
101	3.374673725
102	3.346989742
103	3.332589706
104	3.297126087
105	3.271027188
106	3.247027091
107	3.224613853
108	3.194956617
109	3.179460088
110	3.163358649
111	3.136348405
112	3.116661837
113	3.110699941
114	3.070947549
115	3.057194551
116	3.052658045
117	3.043385239
118	3.0243049
119	3.009262352
120	2.992082619
121	2.957783394
122	2.956908493
123	2.950214962
124	2.950026886
125	2.945890815
126	2.940403421
127	2.923218648
128	2.90517926
129	2.887334659
130	2.8830974
131	2.874238403
132	2.860259687
133	2.852564335
134	2.845690737
135	2.841426474
136	2.829652997
137	2.820170754
138	2.809766918
139	2.800689869
140	2.764882979
141	2.748735629
142	2.736974744
143	2.710199338
144	2.697395231
145	2.687373444
146	2.684024806
147	2.676608223
148	2.671334275
149	2.657089079
150	2.657040872
151	2.655727911
152	2.654420168
153	2.641951328
154	2.625179609
155	2.618889999
156	2.617907815
157	2.604119029
158	2.579052186
159	2.563207027
160	2.551584116
161	2.549598874
162	2.537677435
163	2.527409317
164	2.521194186
165	2.507615648
166	2.504993061
167	2.501607197
168	2.496808452
169	2.490194858
170	2.485000163
171	2.47352402
172	2.46903882
173	2.463274504
174	2.456700154
175	2.450208316
176	2.44898306
177	2.440961029
178	2.42475933
179	2.415642105
180	2.411080292
181	2.394739376
182	2.387963949
183	2.386674875
184	2.380443321
185	2.376783482
186	2.373911396
187	2.373036289
188	2.37073742
189	2.3580634
190	2.350200113
191	2.348444428
192	2.347935193
193	2.346729748
194	2.335889985
195	2.334748597
196	2.32854235
197	2.310979829
198	2.30740687
199	2.305568573
200	2.299012953
201	2.294479782
202	2.289012602
203	2.280802402
204	2.279063739
205	2.271777396
206	2.26475527
207	2.23863487
208	2.222036086
209	2.203620534
210	2.202830868
211	2.192245194
212	2.189500814
213	2.182729453
214	2.182713342
215	2.179507889
216	2.174334054
217	2.172575221
218	2.172294704
219	2.167709834
220	2.160594136
221	2.153870746
222	2.149038512
223	2.145806746
224	2.141494524
225	2.14138725
226	2.141380234
227	2.141221664
228	2.136291343
229	2.135598365
230	2.131663293
231	2.130937508
232	2.127974753
233	2.124662054
234	2.124536368
235	2.120387971
236	2.113355469
237	2.110847903
238	2.108012731
239	2.105861311
240	2.102055986
241	2.09548687
242	2.093095952
243	2.083172227
244	2.080408423
245	2.072762591
246	2.072121864
247	2.069143703
248	2.064264517
249	2.061635837
250	2.058743869
251	2.05742544
252	2.057327469
253	2.054181585
254	2.047670494
255	2.040559969
256	2.031973096
257	2.030322533
258	2.027683031
259	2.026601639
260	2.022582618
261	2.020790608
262	2.018033802
263	2.012484157
264	2.010949587
265	2.009364904
266	2.00696123
267	2.003826631
268	1.995198701
269	1.994975678
270	1.994934518
271	1.989177858
272	1.986815765
273	1.984407704
274	1.982011739
275	1.98088427
276	1.975697383
277	1.975008546
278	1.969121186
279	1.965850112
280	1.960017779
281	1.955188093
282	1.949819743
283	1.948678417
284	1.94586672
285	1.937485618
286	1.93400321
287	1.933051443
288	1.930176526
289	1.929718308
290	1.924862697
291	1.923390736
292	1.916640197
293	1.914969853
294	1.911239893
295	1.910771366
296	1.907189058
297	1.89548137
298	1.889270884
299	1.886082911
300	1.880042421
301	1.878535004
302	1.876238518
303	1.873247097
304	1.868391177
305	1.866518937
306	1.864535788
307	1.863880091
308	1.861074739
309	1.858401148
310	1.856300114
311	1.854841935
312	1.852748242
313	1.851164331
314	1.84683196
315	1.843646055
316	1.839693293
317	1.838041328
318	1.831677698
319	1.830261279
320	1.829816757
321	1.826956278
322	1.820712414
323	1.81984891
324	1.815062302
325	1.810318882
326	1.806340982
327	1.80277071
328	1.795441895
329	1.790261228
330	1.789551878
331	1.787178997
332	1.786950932
333	1.786553213
334	1.783986244
335	1.779799638
336	1.778728826
337	1.771392709
338	1.770701481
339	1.770030064
340	1.767432496
341	1.765610597
342	1.760990919
343	1.757673172
344	1.753301095
345	1.751912475
346	1.751770471
347	1.745765222
348	1.740135112
349	1.736769377
350	1.733111052
351	1.730059756
352	1.728091779
353	1.725256225
354	1.724392823
355	1.719754344
356	1.715893665
357	1.714635275
358	1.713402578
359	1.708806975
360	1.70850267
361	1.708045173
362	1.704858972
363	1.701046618
364	1.696697761
365	1.696636701
366	1.696518483
367	1.688115963
368	1.687861728
369	1.684011721
370	1.682492413
371	1.678611137
372	1.677060546
373	1.67644792
374	1.67173657
375	1.664821191
376	1.662449235
377	1.660498788
378	1.6577169
379	1.653127407
380	1.652086445
381	1.647979733
382	1.646181902
383	1.643624653
384	1.641783435
385	1.63947071
386	1.638549617
387	1.638050304
388	1.636284844
389	1.634035032
390	1.630938179
391	1.62995474
392	1.629361294
393	1.622365861
394	1.620045439
395	1.61099254
396	1.609108235
397	1.607073413
398	1.603758708
399	1.601802671
400	1.600295704
401	1.595400923
402	1.593679786
403	1.587769692
404	1.586425886
405	1.583880856
406	1.581837733
407	1.581547861
408	1.579211909
409	1.574862283
410	1.572849477
411	1.57276156
412	1.572048157
413	1.571447461
414	1.569447959
415	1.567037
416	1.56465164
417	1.562028277
418	1.560813122
419	1.559453817
420	1.5557342
421	1.553349252
422	1.549989765
423	1.54984355
424	1.546599614
425	1.544100796
426	1.541154355
427	1.540946136
428	1.540076854
429	1.539474651
430	1.537486348
431	1.534193752
432	1.531267723
433	1.527897642
434	1.526103195
435	1.525092747
436	1.524838727
437	1.522899554
438	1.520063402
439	1.518880035
440	1.517132384
441	1.513167175
442	1.511735481
443	1.510319028
444	1.509665103
445	1.509575657
446	1.508398005
447	1.507326862
448	1.506174303
449	1.505981467
450	1.50485105
451	1.503554056
452	1.500774128
453	1.499716091
454	1.496753059
455	1.496376659
456	1.495526424
457	1.48795712
458	1.485338583
459	1.484115032
460	1.483244373
461	1.480570178
462	1.480241937
463	1.478922361
464	1.478345017
465	1.477220439
466	1.475660803
467	1.474373613
468	1.473311826
469	1.470551317
470	1.470524839
471	1.470375677
472	1.469615412
473	1.465909489
474	1.46494462
475	1.463169409
476	1.462696956
477	1.46080212
478	1.460639363
479	1.457949793
480	1.455321178
481	1.454684813
482	1.451933674
483	1.448535182
484	1.446722292
485	1.442965961
486	1.441530323
487	1.440155356
488	1.439752286
489	1.439505864
490	1.43901301
491	1.438988114
492	1.436080598
493	1.431588619
494	1.430600884
495	1.429613558
496	1.423456986
497	1.422399323
498	1.420712253
499	1.420395633
