iter	Passed	Remaining
0	52	26312
1	60	15053
2	68	11280
3	76	9471
4	82	8195
5	85	7021
6	94	6657
7	100	6174
8	102	5615
9	105	5173
10	111	4950
11	113	4621
12	115	4344
13	122	4264
14	126	4091
15	129	3903
16	131	3728
17	133	3580
18	135	3440
19	138	3319
20	142	3246
21	144	3148
22	147	3060
23	150	2977
24	152	2894
25	155	2835
26	159	2798
27	161	2729
28	164	2664
29	166	2605
30	168	2548
31	170	2498
32	173	2456
33	175	2410
34	179	2379
35	181	2336
36	183	2296
37	185	2258
38	191	2264
39	194	2231
40	196	2197
41	198	2164
42	204	2173
43	207	2150
44	211	2137
45	213	2111
46	216	2083
47	221	2087
48	224	2068
49	227	2043
50	229	2018
51	231	1994
52	234	1974
53	236	1954
54	239	1941
55	242	1921
56	244	1900
57	246	1880
58	252	1890
59	256	1879
60	258	1862
61	261	1845
62	263	1827
63	265	1809
64	268	1799
65	272	1788
66	274	1775
67	277	1763
68	280	1750
69	288	1771
70	293	1775
71	302	1796
72	307	1797
73	312	1799
74	314	1784
75	318	1775
76	321	1763
77	323	1749
78	325	1736
79	328	1722
80	333	1725
81	338	1723
82	340	1710
83	342	1697
84	345	1684
85	349	1682
86	353	1677
87	355	1665
88	358	1655
89	360	1643
90	364	1636
91	366	1625
92	369	1617
93	371	1606
94	374	1595
95	376	1584
96	378	1573
97	381	1564
98	383	1554
99	387	1548
100	389	1538
101	393	1533
102	395	1524
103	397	1514
104	400	1506
105	403	1499
106	405	1490
107	407	1480
108	410	1472
109	412	1463
110	415	1454
111	417	1445
112	419	1436
113	421	1427
114	423	1418
115	425	1409
116	427	1400
117	430	1392
118	432	1383
119	433	1374
120	436	1366
121	440	1363
122	441	1353
123	443	1344
124	445	1335
125	446	1326
126	448	1317
127	450	1309
128	453	1304
129	455	1296
130	457	1288
131	459	1280
132	461	1273
133	463	1265
134	465	1257
135	467	1250
136	468	1242
137	470	1235
138	472	1227
139	475	1223
140	478	1217
141	480	1210
142	483	1206
143	485	1201
144	487	1194
145	489	1187
146	491	1181
147	493	1174
148	496	1168
149	498	1162
150	500	1156
151	502	1149
152	504	1144
153	506	1137
154	509	1133
155	511	1127
156	514	1122
157	516	1117
158	518	1111
159	520	1105
160	522	1099
161	524	1093
162	525	1087
163	527	1081
164	529	1075
165	531	1069
166	533	1064
167	535	1058
168	537	1052
169	540	1049
170	543	1045
171	545	1040
172	547	1034
173	549	1029
174	551	1023
175	553	1018
176	555	1012
177	556	1007
178	558	1002
179	560	997
180	562	992
181	565	987
182	569	987
183	574	986
184	577	983
185	580	979
186	582	975
187	584	970
188	588	968
189	593	969
190	598	968
191	605	970
192	611	972
193	618	974
194	622	973
195	624	967
196	626	963
197	628	958
198	630	954
199	632	949
200	635	945
201	637	941
202	640	936
203	642	932
204	644	927
205	646	922
206	648	918
207	650	913
208	652	908
209	654	904
210	656	899
211	658	894
212	660	890
213	662	885
214	664	881
215	667	877
216	669	873
217	671	868
218	673	864
219	675	859
220	677	855
221	679	850
222	681	846
223	683	841
224	685	837
225	687	833
226	688	828
227	690	823
228	692	819
229	693	814
230	696	811
231	698	806
232	700	802
233	702	798
234	703	793
235	705	789
236	707	785
237	709	781
238	711	777
239	713	772
240	715	768
241	717	764
242	718	760
243	720	756
244	722	752
245	725	748
246	727	744
247	729	741
248	731	737
249	732	732
250	734	728
251	736	724
252	737	720
253	743	720
254	749	719
255	751	716
256	753	712
257	757	710
258	759	706
259	760	702
260	762	698
261	764	694
262	766	691
263	768	687
264	770	683
265	772	679
266	773	675
267	775	671
268	777	667
269	779	663
270	781	660
271	783	656
272	786	653
273	787	649
274	789	646
275	791	642
276	793	638
277	795	635
278	797	631
279	798	627
280	800	624
281	802	620
282	804	617
283	806	613
284	808	610
285	810	606
286	812	602
287	815	600
288	817	596
289	819	593
290	821	589
291	823	586
292	825	582
293	827	579
294	829	576
295	830	572
296	833	570
297	839	568
298	845	568
299	851	567
300	857	567
301	861	565
302	864	561
303	866	558
304	868	555
305	870	552
306	873	549
307	875	546
308	878	542
309	880	539
310	882	536
311	884	533
312	886	529
313	888	526
314	890	523
315	892	519
316	894	516
317	896	513
318	898	509
319	900	506
320	902	503
321	906	501
322	912	500
323	916	498
324	920	495
325	922	492
326	924	488
